Web Search interest: dont smile
Worldwide; Jul 2011 - Jun 2014

Interest over time
Week,dont smile
2014-05-18 - 2014-05-24,31
2014-05-25 - 2014-05-31,28
2014-06-01 - 2014-06-07,31
2014-06-08 - 2014-06-14,31
2014-06-15 - 2014-06-21,30
2014-06-22 - 2014-06-28,31
2014-06-29 - 2014-07-05,27


Top regions for dont smile
Region,dont smile
Indonesia,100
United States,21
United Kingdom,15


Top cities for dont smile
City,dont smile
Surabaya (Indonesia),100
Jakarta (Indonesia),59
New York (United States),18
London (United Kingdom),12



Top searches for dont smile
smile dont cry,100
dont cry,100
smile lyrics,90
how to smile,25
dont forget smile,25
smile back lyrics,5



Rising searches for dont smile
dont cry,+110%
smile dont cry,+110%
dont forget smile,+70%



