"video_id","video_title","view_count","category","duration_in_seconds","upload_time","captured_time","avg_rate","max_rate","min_rate","num_raters","num_dislikes","num_likes","uploader_id","uploader_name","uploader_url","video_desp"
"NJ9pYU-fa18","Timbaland - Say Something ft. Drake","26363826","Music","270","2009-12-08T18:40:37.000Z","01/18/13","4.855409","5.0","1.0","42022","1519","40503","rHeROKlt3iOzhZHRV2oYkg","TimbalandVEVO","https://gdata.youtube.com/feeds/api/users/TimbalandVEVO","Music video by Timbaland performing Say Something. (C) 2009 Blackground Records/Interscope Records"
"nmnjL26OBcY","The Black Eyed Peas - Rock That Body","36759100","Music","273","2010-03-22T16:25:21.000Z","01/18/13","4.8832817","5.0","1.0","73990","2159","71831","rwmu-gceGOmtZeuTsn7DlQ","BlackEyedPeasVEVO","https://gdata.youtube.com/feeds/api/users/BlackEyedPeasVEVO","Music video by Black Eyed Peas performing Rock That Body. (C) 2010 Interscope Records"
"nNTyfVh3nmU","Usher - Climax","31141309","Music","237","2012-03-09T06:30:09.000Z","01/18/13","4.8483357","5.0","1.0","153497","5820","147677","U8hEdjK8u27TM7KA8JVIEw","UsherVEVO","https://gdata.youtube.com/feeds/api/users/UsherVEVO","Music video by Usher performing Climax. (C) 2012 RCA Records, a division of Sony Music Entertainment"
"noLrCDzAp5M","T-Pain - 5 O'Clock ft. Wiz Khalifa, Lily Allen","44479476","Music","287","2011-09-29T20:34:40.000Z","01/18/13","4.883317","5.0","1.0","178741","5214","173527","-aupv24Ky1Z8asbtmeJolQ","TPainVEVO","https://gdata.youtube.com/feeds/api/users/TPainVEVO","Music video by T-Pain Featuring Wiz Khalifa & Lily Allen performing 5 O'Clock. (C) 2011 RCA Records, a division of Sony Music Entertainment"
"NOubzHCUt48","Ke$ha - Die Young (Official)","31864029","Music","213","2012-11-08T08:00:57.000Z","01/18/13","4.1372013","5.0","1.0","235202","50733","184469","9HnKwLco0wfmmHJT4KOjJw","keshaVEVO","https://gdata.youtube.com/feeds/api/users/keshaVEVO","GET 'WARRIOR' HERE:  http://smarturl.it/warrior?IQid=v GET 'WARRIOR' + 5 EXCLUSIVE ACOUSTIC TRACKS HERE: http://myplay.me/xwh   Directed By: Darren Craig for The Uprising Creative Produced by: Jonathan Craven for The Uprising Creative Editor: Shahana Khan VFX: Ryan Paterson & Jesse Austin and Mike Orr  (C) 2012 Kemosabe Records/RCA Records"
"NRdHsuuXxfk","Timbaland - Carry Out ft. Justin Timberlake","67058613","Music","235","2010-02-19T06:37:49.000Z","01/18/13","4.875365","5.0","1.0","115184","3589","111595","rHeROKlt3iOzhZHRV2oYkg","TimbalandVEVO","https://gdata.youtube.com/feeds/api/users/TimbalandVEVO","Music video by Timbaland performing Carry Out. (C) 2010 Blackground Records/Interscope Records"
"NWdrO4BoCu8","Shontelle - Impossible","55711777","Music","257","2010-04-01T16:19:29.000Z","01/18/13","4.946116","5.0","1.0","203846","2746","201100","YbrE8VceQNJovYHxOyU75g","ShontelleVEVO","https://gdata.youtube.com/feeds/api/users/ShontelleVEVO","Music video by Shontelle performing Impossible. (C) 2010 Universal Records, a Division of UMG Recordings, Inc. and SRC Records, Inc."
"O1-4u9W-bns","Jason Mraz - I Won't Give Up [Official Music Video]","23604332","Music","275","2012-02-17T16:28:50.000Z","01/18/13","4.9684987","5.0","1.0","162025","1276","160749","8ey1FYCmgHPa9f5KxWb0mw","OfficialJasonMraz","https://gdata.youtube.com/feeds/api/users/OfficialJasonMraz","© 2012 WMG. Download now on iTunes! http://smarturl.it/IWontGiveUp  new album 'Love Is A Four Letter Word' coming April 17th 2012  Directed by Mark Pellington  http://jasonmraz.com  http://facebook.com/jasonmraz http://twitter.com/jason_mraz"
"oouFE51HcqM","ZAC BROWN BAND -  COLDER WEATHER (Official Music Video)","8053385","Film","284","2011-02-14T23:38:46.000Z","01/18/13","4.9668717","5.0","1.0","34291","284","34007","H5oChsU9MVM7gIqBolNKGQ","zacbrownband","https://gdata.youtube.com/feeds/api/users/zacbrownband",""
"OrTyD7rjBpw","The Black Eyed Peas - Just Can't Get Enough","117891578","Music","236","2011-03-16T18:15:37.000Z","01/18/13","4.9212475","5.0","1.0","408115","8035","400080","rwmu-gceGOmtZeuTsn7DlQ","BlackEyedPeasVEVO","https://gdata.youtube.com/feeds/api/users/BlackEyedPeasVEVO","Music video by Black Eyed Peas performing Just Can't Get Enough. Interscope Records  #VEVOCertified on December 26, 2011. http://www.vevo.com/certified http://www.youtube.com/vevocertified"
"oTs6oQx1WJY","Britney Spears - 3","28133918","Music","217","2009-11-14T15:50:28.000Z","01/18/13","4.8384476","5.0","1.0","64524","2606","61918","ZijND2e2tPp2AQL8Go2YSg","BritneySpearsVEVO","https://gdata.youtube.com/feeds/api/users/BritneySpearsVEVO","Music video by Britney Spears performing 3. YouTube view counts pre-VEVO: 1,392,796 (C) 2009 RCA/JIVE Label Group, a unit of Sony Music Entertainment"
"oUbpGmR1-QM","Jay Sean - Down ft. LIL WAYNE","123854641","Music","224","2009-11-24T17:11:26.000Z","01/18/13","4.8630266","5.0","1.0","169259","5796","163463","dfbxcSrqYvM5pqDmTWr1eQ","JaySeanVEVO","https://gdata.youtube.com/feeds/api/users/JaySeanVEVO","Music video by Jay Sean performing Down. (C) 2009 Cash Money Records Inc."
"ox-lfowevqA","Ludacris - How Low","28638324","Music","217","2010-01-22T17:22:28.000Z","01/18/13","4.8470984","5.0","1.0","59280","2266","57014","pytoPautrCCR3AynOemHhg","LudacrisVEVO","https://gdata.youtube.com/feeds/api/users/LudacrisVEVO","Music video by Ludacris performing How Low. (C) 2010 DTP Records, LLC"
"oxqnFJ3lp5k","Train - Drive By","69504222","Music","209","2012-02-15T08:00:00.000Z","01/18/13","4.914447","5.0","1.0","292356","6253","286103","5e_2fVZJ2heCb799A04AtA","TrainVEVO","https://gdata.youtube.com/feeds/api/users/TrainVEVO","Music video by Train performing Drive By. Pre-order California 37 Now: http://www.smarturl.it/ca37iTunes (C) 2012 Sony Music Entertainment"
"p4kVWCSzfK4","David Guetta - Where Them Girls At ft. Nicki Minaj, Flo Rida","146376106","Music","228","2011-06-28T07:01:00.000Z","01/18/13","4.854115","5.0","1.0","444378","16207","428171","1l7wYrva1qCH-wgqcHaaRg","davidguettavevo","https://gdata.youtube.com/feeds/api/users/davidguettavevo","From the album Nothing But The Beat Ultimate - Download on iTunes here: http://smarturl.it/NBTBiTunes?IQid=vevo Featuring Sia, Ne-Yo, Akon, Nicki Minaj, Flo Rida, Will.I.Am, Jessie J, Usher & many more.    Order the CD on Amazon here: http://smarturl.it/NothingButTheBeatAma?IQid=Vevo  For all other retail click here: http://smarturl.it/NBTNUltimateretail?IQid=Vevo   Follow David: http://facebook.com/DavidGuetta http://www.twitter.com/DavidGuetta  http://www.davidguetta.com  http://instagram.com/davidguetta (C) 2011 What a Music Ltd / EMI Music France, Licence exclusive EMI Music France #VEVOCertified on February 12, 2012. http://www.vevo.com/certified http://www.youtube.com/vevocertified"
"p5Jw-T4dVss","Justin Bieber - That Should Be Me ft. Rascal Flatts","44191725","Music","237","2011-03-11T02:10:32.000Z","01/18/13","4.413354","5.0","1.0","306713","44983","261730","Hkj014U2CQ2Nv0UZeYpE_A","JustinBieberVEVO","https://gdata.youtube.com/feeds/api/users/JustinBieberVEVO","Music video by Justin Bieber performing That Should Be Me. (C) 2011 The Island Def Jam Music Group"
"pa14VNsdSYM","Rihanna - Only Girl (In The World)","259002936","Music","251","2010-10-12T21:40:19.000Z","01/18/13","4.8424516","5.0","1.0","501052","19735","481317","2xskkQVFEpLcGFnNSLQY0A","RihannaVEVO","https://gdata.youtube.com/feeds/api/users/RihannaVEVO","Music video by Rihanna performing Only Girl (In The World). (C) 2010 The Island Def Jam Music Group #VEVOCertified on February 16, 2011. http://www.vevo.com/certified http://www.youtube.com/vevocertified"
"pBI3lc18k8Q","Jason Derulo - Whatcha Say (Video)","120911570","Music","227","2009-10-16T04:17:44.000Z","01/18/13","4.777695","5.0","1.0","204746","11379","193367","e3yZzUwpmy2eKKmF9svX0Q","JasonDerulo","https://gdata.youtube.com/feeds/api/users/JasonDerulo","© 2012 WMG Buy Jason Derulo's  Undefeated  on iTunes Now - http://smarturl.it/Jason-Undefeated?IQid=YTVid  Watch more Jason Derulo videos on YouTube here: http://www.youtube.com/playlist?list=PL3949CB2196B7BB34  http://www.jasonderulo.com/ http://wbr.fm/DeruloFB http://wbr.fm/DeruloTwitter https://plus.google.com/117808836101282488677  Download on iTunes:  https://itunes.apple.com/us/artist/jason-derulo/id259118085"
"pc0mxOXbWIU","Cee Lo Green - FUCK YOU (Official Video)","70336794","Music","234","2010-09-01T10:40:56.000Z","01/18/13","4.921773","5.0","1.0","463165","9058","454107","se-L5jdWjkURTdqbc59eWw","CeeLoGreen","https://gdata.youtube.com/feeds/api/users/CeeLoGreen","Watch the video for Cee Lo Green's massive single 'Fuck You!', the first single from the brand new album The Lady Killer  New Christmas album 'CeeLo's Magic Moment' available now! http://smarturl.it/magicmoment   Watch Cee Lo's hottest music videos here: http://www.youtube.com/playlist?list=PLjdAkdOUdpeVPzQxfPYH9EfOjlWD-04XW  Official website: http://www.ceelogreen.com Facebook: http://www.facebook.com/ceelogreen Twitter: http://twitter.com/CeeLoGreen Subscribe: http://www.youtube.com/ceelogreen"
"pD8mxge6kek","Usher - Hey Daddy (Daddy's Home) ft. Plies","22452829","Music","228","2010-01-28T23:07:17.000Z","01/18/13","4.9219146","5.0","1.0","44669","872","43797","U8hEdjK8u27TM7KA8JVIEw","UsherVEVO","https://gdata.youtube.com/feeds/api/users/UsherVEVO","Music video by Usher featuring Plies performing Hey Daddy (Daddy's Home). (C) 2009 RCA/Jive Label Group, a unit of Sony Music Entertainment"
"pJgoHgpsb9I","Carrie Underwood - Blown Away","9152875","Music","281","2012-08-01T07:00:26.000Z","01/18/13","4.9105816","5.0","1.0","63432","1418","62014","KTgj8r-wp80wJgDxhc6jpA","carrieunderwoodVEVO","https://gdata.youtube.com/feeds/api/users/carrieunderwoodVEVO","Music video by Carrie Underwood performing Blown Away. (P) 2012 19 Recordings Limited, under exclusive license to Sony Music Nashville, a division of Sony Music Entertainment"
"pn1VGytzXus","Big Sean - Dance (A$$) Remix ft. Nicki Minaj","53132323","Music","231","2011-11-01T19:55:00.000Z","01/18/13","4.4698095","5.0","1.0","221724","29389","192335","7zOpx9wgvGBCDEjujnAPQA","BigSeanVEVO","https://gdata.youtube.com/feeds/api/users/BigSeanVEVO","Music video by Big Sean performing Dance (A$$) Remix. ©: Getting Out Our Dreams, Inc./The Island Def Jam Music Group"
"prmmCg5bKxA","Eenie Meenie","101252539","Music","205","2010-04-29T05:52:25.000Z","01/18/13","4.596775","5.0","1.0","266670","26882","239788","s3YiGrhC5ogCQyBJ25rUFw","seankingstonVEVO","https://gdata.youtube.com/feeds/api/users/seankingstonVEVO","Music video by Sean Kingston performing Eenie Meenie."
"pRpeEdMmmQ0","Waka Waka (This Time for Africa) (The Official 2010 FIFA ...","506441806","Music","211","2010-06-04T22:13:23.000Z","01/18/13","4.7778554","5.0","1.0","580325","32229","548096","GnjeahCJW1AF34HBmQTJ-Q","shakiraVEVO","https://gdata.youtube.com/feeds/api/users/shakiraVEVO","Music video by Shakira featuring Freshlyground performing Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song). (C) 2010 Sony Music Entertainment #VEVOCertified on July 15, 2010. http://www.vevo.com/certified http://www.youtube.com/vevocertified"
"pSFyrrhKj1Q","Nicki Minaj - Your Love","53412823","Music","246","2010-08-03T20:05:53.000Z","01/18/13","4.6519647","5.0","1.0","143859","12517","131342","aum3Yzdl3TbBt8YUeUGZLQ","NickiMinajAtVEVO","https://gdata.youtube.com/feeds/api/users/NickiMinajAtVEVO","Minaj's new album 'Pink Friday: Roman Reloaded' is out now! Buy it here: smarturl.it/Pinkfridayexplicit"
"psuRGfAaju4","Owl City - Fireflies","84514537","Music","234","2009-12-16T04:10:21.000Z","01/18/13","4.85769","5.0","1.0","332401","11826","320575","V-UW3I3mXakSoqV8SpF1sg","OwlCityVEVO","https://gdata.youtube.com/feeds/api/users/OwlCityVEVO","Music video by Owl City performing Fireflies. YouTube view counts pre-VEVO: 22,880,713. (C) 2009 Universal Republic Records, a division of UMG Recordings, Inc."
"Pu1aQvm5MrU","Orianthi - According To You","13460884","Music","201","2009-12-02T07:15:31.000Z","01/18/13","4.884246","5.0","1.0","49726","1439","48287","lFyN-SOQEK5QK9wodHQFeg","OrianthiVEVO","https://gdata.youtube.com/feeds/api/users/OrianthiVEVO","Music video by Orianthi performing According To You.    According To You  - Released in the UK on Sept 5th. Click the link for your chance to win a Orianthi SE PRS guitar http://bit.ly/9tWqvl  (C) 2009 Geffen Records"
"PVzljDmoPVs","David Guetta - She Wolf (Falling To Pieces) ft. Sia","91544099","Music","238","2012-09-28T07:00:20.000Z","01/18/13","4.901704","5.0","1.0","510539","12546","497993","1l7wYrva1qCH-wgqcHaaRg","davidguettavevo","https://gdata.youtube.com/feeds/api/users/davidguettavevo","From the album Nothing But The Beat Ultimate - Download on iTunes here: http://smarturl.it/NBTBiTunes?IQid=vevo Featuring Sia, Ne-Yo, Akon, Nicki Minaj, Flo Rida, Will.I.Am, Jessie J, Usher & many more.    Order the CD on Amazon here: http://smarturl.it/NothingButTheBeatAma?IQid=Vevo  For all other retail click here: http://smarturl.it/NBTNUltimateretail?IQid=Vevo   Follow David: http://facebook.com/DavidGuetta http://www.twitter.com/DavidGuetta  http://www.davidguetta.com  http://instagram.com/davidguetta"
"q4GJVOMjCC4","Miguel - Sure Thing","21781841","Music","202","2011-01-06T01:51:38.000Z","01/18/13","4.933369","5.0","1.0","91069","1517","89552","pOt14iqkbd6QjtBHicTXKQ","MiguelVEVO","https://gdata.youtube.com/feeds/api/users/MiguelVEVO","Music video by Miguel performing Sure Thing. (C) 2010 JIVE Records, a unit of Sony Music Entertainment"
"Q8XkLrErSHw","Kenny Chesney - You And Tequila ft. Grace Potter","7348997","Music","246","2011-05-28T00:30:21.000Z","01/18/13","4.9352","5.0","1.0","25000","405","24595","2RaZgpzFbucwZ1ud6i7q-w","KennyChesneyVEVO","https://gdata.youtube.com/feeds/api/users/KennyChesneyVEVO","Music video by Kenny Chesney featuring Grace Potter performing You And Tequila (featuring Grace Potter). (C) 2011 Sony Music Entertainment"
