18,18,18,18,18,18
4622,4629,4634,4634,4635,4638
19,19,19,19,19,19
37,37,37,37,37,37
590,594,596,598,598,600
137,137,137,137,137,137
41,41,41,41,41,41
8,8,8,8,8,8
472073,472239,472357,472449,472571,472743
1675,1675,1675,1675,1675,1675
112,112,112,113,113,113
3035364,3202150,3292215,3323940,3364624,3396700
3405,3406,3409,3409,3409,3410
71617,71934,72107,72224,72497,72758
703088,703506,703926,704115,704365,704669
46085,46152,46223,46263,46304,46345
362300,363173,363903,364316,364983,365752
268910340,284765960,297130779,305105431,315792522,329124833
11,11,11,11,11,11
296,296,296,296,296,296
112,112,113,113,113,113
50,50,50,50,50,50
52,52,52,52,54,54
187624,188873,189735,190113,190776,190908
12712,12773,12817,12847,12913,12975
63658,63773,63861,63915,64033,64157
37,38,38,38,38,38
63,63,63,63,63,63
2980887,2990097,2997949,3000798,3005623,3011906
14825,14854,14886,14896,14897,14936
6967,6996,7032,7037,7059,7090
189,192,198,198,199,201
4296,4302,4306,4307,4308,4312
